Model,RMSE,MAE,R2
Linear Regression,9.330070693440128e-14,6.027585837860745e-14,1.0
Random Forest,0.0010453003531412286,0.0003621733590911265,0.9999991661741896
Gradient Boosting,0.006474482323569937,0.0047030178492049055,0.9999680108103239
